"Name","5_quant","3_quant","2_quant","1_quant","4_quant"
"5_trinity.7",25.6008015945,24.0113401049,25.6271495827,25.1764091035,24.8132885981
"3_trinity.5",24.6337694873,26.0241470137,24.6970418543,25.4462214785,26.3001787893
"3_trinity.6",24.3681708539,24.7234250934,24.0549705097,24.1487899898,23.7460398588
"4_trinity.6",25.3972580643,25.241087788,25.6208380533,25.2285794282,25.1404927538
