max,mean,median
157169.358143,71896.22905016666,57052.8219735
225709.376956,82599.85446283333,69583.2048885
96404.56681,43650.39489266667,36446.417289000005
870488.38956,480433.01720016677,483018.4442709999
201367.27404,158400.10006350002,157940.3022945
310.513376,138.72289291666667,121.44659
152056.064563,72909.59442166667,65393.432061
150472.237937,61475.808539583326,55407.468564
134.815543,28.83291291666667,18.263052000000002
117.934762,67.35808525,64.2775685
75696.688827,28245.625926916666,23805.310587000004
